ORF	Gene_uniq	cluster	gene_name
YBL081W	YBL081W	6	YBL081W
YBR065C	YBR065C	6	ECM2
YBR119W	YBR119W	6	MUD1
YBR212W	YBR212W	6	NGR1
YCL050C	YCL050C	6	APA1
YCR067C	YCR067C	6	SED4
YDL093W	YDL093W	6	PMT5
YDL140C	YDL140C_DAmP	6	RPO21
YDR163W	YDR163W	6	CWC15
YDR219C	YDR219C	6	MFB1
YDR266C	YDR266C	6	HEL2
YDR306C	YDR306C	6	YDR306C
YDR313C	YDR313C	6	PIB1
YDR482C	YDR482C	6	CWC21
YGL174W	YGL174W	6	BUD13
YGR129W	YGR129W	6	SYF2
YHR086W	YHR086W	6	NAM8
YHR156C	YHR156C	6	LIN1
YHR157W	YHR157W	6	REC104
YIL029C	YIL029C	6	YIL029C
YIL110W	YIL110W	6	HPM1
YIR005W	YIR005W	6	IST3
YJR084W	YJR084W	6	YJR084W
YJR119C	YJR119C	6	JHD2
YKL005C	YKL005C	6	BYE1
YKL074C	YKL074C	6	MUD2
YKL149C	YKL149C	6	DBR1
YKR055W	YKR055W	6	RHO4
YKR074W	YKR074W	6	AIM29
YLR128W	YLR128W	6	DCN1
YLR450W	YLR450W	6	HMG2
YML035C	YML035C	6	AMD1
YML075C	YML075C	6	HMG1
YML108W	YML108W	6	YML108W
YMR199W	YMR199W	6	CLN1
YMR205C	YMR205C	6	PFK2
YNR004W	YNR004W	6	SWM2
YOR042W	YOR042W	6	CUE5
YOR113W	YOR113W	6	AZF1
YOR189W	YOR189W	6	IES4
YOR308C	YOR308C	6	SNU66
YOR339C	YOR339C	6	UBC11
YPL068C	YPL068C	6	YPL068C
YPL157W	YPL157W	6	TGS1
YPL184C	YPL184C	6	MRN1
YPL213W	YPL213W	6	LEA1
YPL214C	YPL214C	6	THI6
YPL248C	YPL248C	6	GAL4
YPR017C	YPR017C	6	DSS4
YPR043W	YPR043W	6	RPL43A
YPR045C	YPR045C	6	THP3
YPR057W	YPR057W	6	BRR1
YPR066W	YPR066W	6	UBA3
YPR152C	YPR152C	6	URN1
YAL024C	YAL024C	5	LTE1
YBL024W	YBL024W	5	NCL1
YBR131W	YBR131W	5	CCZ1
YBR132C	YBR132C	5	AGP2
YCL010C	YCL010C	5	SGF29
YCR065W	YCR065W	5	HCM1
