ORF	cluster	gene_name
YGR197C	Golgi and ER_GO_2	SNG1
YHL002W	Golgi and ER_GO_2	HSE1
YHR114W	Golgi and ER_GO_2	BZZ1
YHR142W	Golgi and ER_GO_2	CHS7
YHR158C	Golgi and ER_GO_2	KEL1
YIL044C	Golgi and ER_GO_2	AGE2
YML067C	Golgi and ER_GO_2	ERV41
YMR109W	Golgi and ER_GO_2	MYO5
YMR266W	Golgi and ER_GO_2	RSN1
YNL298W	Golgi and ER_GO_2	CLA4
YNR006W	Golgi and ER_GO_2	VPS27
YOR008C	Golgi and ER_GO_2	SLG1
YOR034C	Golgi and ER_GO_2	AKR2
YOR106W	Golgi and ER_GO_2	VAM3
YPL100W	Golgi and ER_GO_2	ATG21
YPL183C	Golgi and ER_GO_2	RTT10
YAR014C	Golgi and ER_GO_1	BUD14
YBR132C	Golgi and ER_GO_1	AGP2
YBR288C	Golgi and ER_GO_1	APM3
YCL008C	Golgi and ER_GO_1	STP22
YCR017C	Golgi and ER_GO_1	CWH43
YCR027C	Golgi and ER_GO_1	RHB1
YCR044C	Golgi and ER_GO_1	PER1
YDL091C	Golgi and ER_GO_1	UBX3
YDR490C	Golgi and ER_GO_1	PKH1
YFL025C	Golgi and ER_GO_1	BST1
YGL058W	Golgi and ER_GO_1	RAD6
YGL084C	Golgi and ER_GO_1	GUP1
YGR086C	Golgi and ER_GO_1	PIL1
YGR097W	Golgi and ER_GO_1	ASK10
YGR184C	Golgi and ER_GO_1	UBR1
YHR079C	Golgi and ER_GO_1	IRE1
YJL024C	Golgi and ER_GO_1	APS3
YJL062W	Golgi and ER_GO_1	LAS21
YJL117W	Golgi and ER_GO_1	PHO86
YKL179C	Golgi and ER_GO_1	COY1
YLL038C	Golgi and ER_GO_1	ENT4
YLR083C	Golgi and ER_GO_1	EMP70
YLR114C	Golgi and ER_GO_1	AVL9
YLR181C	Golgi and ER_GO_1	VTA1
YNL027W	Golgi and ER_GO_1	CRZ1
YNL032W	Golgi and ER_GO_1	SIW14
YNL044W	Golgi and ER_GO_1	YIP3
YNL053W	Golgi and ER_GO_1	MSG5
YNL154C	Golgi and ER_GO_1	YCK2
YNL227C	Golgi and ER_GO_1	JJJ1
YOR016C	Golgi and ER_GO_1	ERP4
YOR043W	Golgi and ER_GO_1	WHI2
YPL195W	Golgi and ER_GO_1	APL5
YPR009W	Golgi and ER_GO_1	SUT2
YAL055W	peroxisome_GO_0	PEX22
YBR168W	peroxisome_GO_0	PEX32
YDL065C	peroxisome_GO_0	PEX19
YDR233C	peroxisome_GO_0	RTN1
YDR265W	peroxisome_GO_0	PEX10
YDR329C	peroxisome_GO_0	PEX3
YDR479C	peroxisome_GO_0	PEX29
YGL115W	peroxisome_GO_0	SNF4
YGL153W	peroxisome_GO_0	PEX14
YGR077C	peroxisome_GO_0	PEX8
YGR133W	peroxisome_GO_0	PEX4
YJL210W	peroxisome_GO_0	PEX2
YKL197C	peroxisome_GO_0	PEX1
YKR001C	peroxisome_GO_0	VPS1
YLL001W	peroxisome_GO_0	DNM1
YMR026C	peroxisome_GO_0	PEX12
YNL329C	peroxisome_GO_0	PEX6
YOL044W	peroxisome_GO_0	PEX15
YBR238C	mitochondrion_GO_2	YBR238C
YCR065W	mitochondrion_GO_2	HCM1
YDL033C	mitochondrion_GO_2	SLM3
YDL142C	mitochondrion_GO_2	CRD1
YDR219C	mitochondrion_GO_2	MFB1
